,epochs,loss,accuracy,val_loss,val_accuracy
0,0,0.0,0.5033556818962097,0.0,0.4833333194255829
1,1,0.0,0.4899328947067261,0.0,0.4833333194255829
2,2,0.0,0.5503355860710144,0.0,0.4833333194255829
3,3,0.0,0.4563758373260498,0.0,0.4833333194255829
4,4,0.0,0.5302013158798218,0.0,0.4833333194255829
5,5,0.0,0.5167785286903381,0.0,0.4833333194255829
6,6,0.0,0.4899328947067261,0.0,0.4833333194255829
7,7,0.0,0.4966442883014679,0.0,0.4833333194255829
8,8,0.0,0.5503355860710144,0.0,0.4833333194255829
9,9,0.0,0.48322147130966187,0.0,0.4833333194255829
10,10,0.0,0.4966442883014679,0.0,0.4833333194255829
11,11,0.0,0.5100671052932739,0.0,0.4833333194255829
12,12,0.0,0.5436241626739502,0.0,0.4833333194255829
13,13,0.0,0.46979865431785583,0.0,0.4833333194255829
14,14,0.0,0.5167785286903381,0.0,0.4833333194255829
15,15,0.0,0.5202702879905701,0.0,0.4833333194255829
16,16,0.0,0.48322147130966187,0.0,0.4833333194255829
17,17,0.0,0.5503355860710144,0.0,0.4833333194255829
18,18,0.0,0.5436241626739502,0.0,0.4833333194255829
19,19,0.0,0.42953020334243774,0.0,0.4833333194255829
20,20,0.0,0.5167785286903381,0.0,0.4833333194255829
21,21,0.0,0.5100671052932739,0.0,0.4833333194255829
22,22,0.0,0.5033556818962097,0.0,0.4833333194255829
23,23,0.0,0.536912739276886,0.0,0.4833333194255829
24,24,0.0,0.46979865431785583,0.0,0.4833333194255829
25,25,0.0,0.5167785286903381,0.0,0.4833333194255829
26,26,0.0,0.4899328947067261,0.0,0.4833333194255829
27,27,0.0,0.5302013158798218,0.0,0.4833333194255829
28,28,0.0,0.5100671052932739,0.0,0.4833333194255829
29,29,0.0,0.48322147130966187,0.0,0.4833333194255829
30,30,0.0,0.5234899520874023,0.0,0.4833333194255829
31,31,0.0,0.5135135054588318,0.0,0.4833333194255829
32,32,0.0,0.4899328947067261,0.0,0.4833333194255829
33,33,0.0,0.5234899520874023,0.0,0.4833333194255829
34,34,0.0,0.4966442883014679,0.0,0.4833333194255829
35,35,0.0,0.5033556818962097,0.0,0.4833333194255829
36,36,0.0,0.5503355860710144,0.0,0.4833333194255829
37,37,0.0,0.4563758373260498,0.0,0.4833333194255829
38,38,0.0,0.5100671052932739,0.0,0.4833333194255829
39,39,0.0,0.5302013158798218,0.0,0.4833333194255829
40,40,0.0,0.5167785286903381,0.0,0.4833333194255829
41,41,0.0,0.4966442883014679,0.0,0.4833333194255829
42,42,0.0,0.5234899520874023,0.0,0.4833333194255829
43,43,0.0,0.4966442883014679,0.0,0.4833333194255829
44,44,0.0,0.5033556818962097,0.0,0.4833333194255829
45,45,0.0,0.4966442883014679,0.0,0.4833333194255829
46,46,0.0,0.5067567825317383,0.0,0.4833333194255829
47,47,0.0,0.4966442883014679,0.0,0.4833333194255829
48,48,0.0,0.5302013158798218,0.0,0.4833333194255829
49,49,0.0,0.4899328947067261,0.0,0.4833333194255829
50,50,0.0,0.536912739276886,0.0,0.4833333194255829
51,51,0.0,0.449664443731308,0.0,0.4833333194255829
52,52,0.0,0.536912739276886,0.0,0.4833333194255829
53,53,0.0,0.5234899520874023,0.0,0.4833333194255829
54,54,0.0,0.46979865431785583,0.0,0.4833333194255829
55,55,0.0,0.5503355860710144,0.0,0.4833333194255829
56,56,0.0,0.48322147130966187,0.0,0.4833333194255829
57,57,0.0,0.4966442883014679,0.0,0.4833333194255829
58,58,0.0,0.5302013158798218,0.0,0.4833333194255829
59,59,0.0,0.5033556818962097,0.0,0.4833333194255829
60,60,0.0,0.4966442883014679,0.0,0.4833333194255829
61,61,0.0,0.5302013158798218,0.0,0.4833333194255829
62,62,0.0,0.4864864945411682,0.0,0.4833333194255829
63,63,0.0,0.5100671052932739,0.0,0.4833333194255829
64,64,0.0,0.4899328947067261,0.0,0.4833333194255829
65,65,0.0,0.5234899520874023,0.0,0.4833333194255829
66,66,0.0,0.5167785286903381,0.0,0.4833333194255829
67,67,0.0,0.4966442883014679,0.0,0.4833333194255829
68,68,0.0,0.48322147130966187,0.0,0.4833333194255829
69,69,0.0,0.5503355860710144,0.0,0.4833333194255829
70,70,0.0,0.4966442883014679,0.0,0.4833333194255829
71,71,0.0,0.5167785286903381,0.0,0.4833333194255829
72,72,0.0,0.5100671052932739,0.0,0.4833333194255829
73,73,0.0,0.46979865431785583,0.0,0.4833333194255829
74,74,0.0,0.5234899520874023,0.0,0.4833333194255829
75,75,0.0,0.5100671052932739,0.0,0.4833333194255829
76,76,0.0,0.5033556818962097,0.0,0.4833333194255829
77,77,0.0,0.5033556818962097,0.0,0.4833333194255829
78,78,0.0,0.5202702879905701,0.0,0.4833333194255829
79,79,0.0,0.5033556818962097,0.0,0.4833333194255829
80,80,0.0,0.5033556818962097,0.0,0.4833333194255829
81,81,0.0,0.4966442883014679,0.0,0.4833333194255829
82,82,0.0,0.5503355860710144,0.0,0.4833333194255829
83,83,0.0,0.48322147130966187,0.0,0.4833333194255829
84,84,0.0,0.48322147130966187,0.0,0.4833333194255829
85,85,0.0,0.5100671052932739,0.0,0.4833333194255829
86,86,0.0,0.5503355860710144,0.0,0.4833333194255829
87,87,0.0,0.48322147130966187,0.0,0.4833333194255829
88,88,0.0,0.5167785286903381,0.0,0.4833333194255829
89,89,0.0,0.449664443731308,0.0,0.4833333194255829
90,90,0.0,0.563758373260498,0.0,0.4833333194255829
91,91,0.0,0.48322147130966187,0.0,0.4833333194255829
92,92,0.0,0.5234899520874023,0.0,0.4833333194255829
93,93,0.0,0.5,0.0,0.4833333194255829
94,94,0.0,0.5,0.0,0.4833333194255829
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
